127.0.0.1 - - [29/Aug/2018:14:33:05 +0900] "GET / HTTP/1.1" 404 1019
0:0:0:0:0:0:0:1 - - [29/Aug/2018:14:33:06 +0900] "GET /sample-web/ HTTP/1.1" 200 701
0:0:0:0:0:0:0:1 - - [29/Aug/2018:14:33:08 +0900] "GET /sample-web/HomeAction HTTP/1.1" 200 2588
0:0:0:0:0:0:0:1 - - [29/Aug/2018:14:33:08 +0900] "GET /sample-web/js/smoothscroll.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Aug/2018:14:33:08 +0900] "GET /sample-web/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Aug/2018:14:33:08 +0900] "GET /sample-web/images/select.png HTTP/1.1" 404 245
0:0:0:0:0:0:0:1 - - [29/Aug/2018:14:33:15 +0900] "POST /sample-web/GoLoginAction HTTP/1.1" 200 4588
0:0:0:0:0:0:0:1 - - [29/Aug/2018:14:33:15 +0900] "GET /sample-web/images/select.png HTTP/1.1" 404 245
0:0:0:0:0:0:0:1 - - [29/Aug/2018:14:33:18 +0900] "POST /sample-web/CreateUserAction.action HTTP/1.1" 200 4804
0:0:0:0:0:0:0:1 - - [29/Aug/2018:14:33:18 +0900] "GET /sample-web/images/select.png HTTP/1.1" 404 245
0:0:0:0:0:0:0:1 - - [29/Aug/2018:14:34:03 +0900] "POST /sample-web/CreateUserConfirmAction.action HTTP/1.1" 200 4436
0:0:0:0:0:0:0:1 - - [29/Aug/2018:14:34:03 +0900] "GET /sample-web/images/select.png HTTP/1.1" 404 245
0:0:0:0:0:0:0:1 - - [29/Aug/2018:14:34:06 +0900] "POST /sample-web/CreateUserCompleteAction.action HTTP/1.1" 200 2771
0:0:0:0:0:0:0:1 - - [29/Aug/2018:14:34:06 +0900] "GET /sample-web/images/select.png HTTP/1.1" 404 245
0:0:0:0:0:0:0:1 - - [29/Aug/2018:14:34:09 +0900] "GET /sample-web/HomeAction HTTP/1.1" 200 2588
0:0:0:0:0:0:0:1 - - [29/Aug/2018:14:34:09 +0900] "GET /sample-web/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Aug/2018:14:34:09 +0900] "GET /sample-web/js/smoothscroll.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Aug/2018:14:34:09 +0900] "GET /sample-web/images/select.png HTTP/1.1" 404 245
